"Goldfish","Acrylic on canvas, it is about reality and dream","8th Dec, 2023","goldfish.jpg","https://pinkcaravaggio.notion.site/pinkcaravaggio/Goldfish-1fcf9ce156d34b1e9ba6ac4a3d9395e5"
"Nonsenseism","Installation, muti-media","12th Dec, 2023","nonsenseism.jpg","https://pinkcaravaggio.notion.site/Nonsenseism-d74f6f4a19484ff1b10ff123caa67a13?pvs=4"
"View Myself And Masters In A Zigzag Pattern","A study of facial portions","30th Oct, 2023","viewMyselfAndMastersInAZigzagPattern.jpg","https://pinkcaravaggio.notion.site/View-Myself-And-Masters-In-A-Zigzag-Pattern-1b5e90692cc64496ba4ac5288a778ce8?pvs=4"
"Copying Is To Create","Acrylic on canvas","26th Aug, 2023","copyingIsToCreate.jpg","https://pinkcaravaggio.notion.site/Copying-Is-To-Create-19892c77ea2f420295114d4dfe09008e?pvs=4"
"The Mask","Acrylic on canvas","2nd Nov, 2023","theMask.jpg","https://pinkcaravaggio.notion.site/The-Mask-d365d83c62df462f89bbcf431d6bd2ec?pvs=4"
"Peach Blossom","Acrylic on canvas, abstract painting","20th Feb, 2024","peachBlossom.jpg","https://pinkcaravaggio.notion.site/Peach-Blossom-a4e78ee9372a467da96e8ebe7baf528b?pvs=4"
"Shine For Me","Oil Pastel on paper, capturing the light","25th Jan, 2024","shineForMe.jpg","https://pinkcaravaggio.notion.site/Shine-For-Me-47b60666ee984faab8a7ce3a2041abdd?pvs=4"
"A Bottle Of Nothing","Acrylic on canvas, to my sweetest friend Elisha Lee","22nd Sep, 2023","aBottleOfNothing.jpg","https://pinkcaravaggio.notion.site/A-Bottle-Of-Nothing-1646d9bb90aa4a14baa67e69be26723b?pvs=4"
"Nothing But Banana","Acrylic on canvas","3rd Nov, 2023","nothingButBanana.jpg","https://pinkcaravaggio.notion.site/Nothing-But-Banana-154d37938ad54217adf951030d48bde6?pvs=4"
"Who Stole My Painting?","Acrylic on canvas","9th Dec, 2022","whoStoleMyPainting.jpg","https://pinkcaravaggio.notion.site/Who-Stole-My-Painting-fdc4676fc67747349657491d4316deb6?pvs=4"
